Date,Close/Last,Volume,Open,High,Low
08/06/2018,$44.58,5114558,$43.63,$44.91,$43.35
08/03/2018,$42.96,2488458,$42.32,$43.13,$42.16
08/02/2018,$42.31,3137830,$42.53,$42.99,$42.255
08/01/2018,$42.51,6080741,$41.86,$43.03,$41.42
07/31/2018,$43.08,3413047,$43.5,$43.7,$42.89
07/30/2018,$43.22,3581994,$43.39,$43.52,$42.68
07/27/2018,$43.48,4530497,$44.45,$44.8,$43.24
07/26/2018,$44.7,8280060,$43.42,$45.19,$42.73
07/25/2018,$42.99,7594340,$42.44,$43.59,$41.98
07/24/2018,$42.49,10663770,$41.41,$43.23,$40.57
07/23/2018,$41.53,3379099,$41.45,$41.84,$41.36
07/20/2018,$41.44,5347966,$42.26,$42.26,$41.33
07/19/2018,$42.26,5583772,$42.39,$42.74,$42.105
